stage,species,formations
Asselian,676,65
Sakmarian,812,107
Artinskian,1058,113
Kungurian,1597,103
Roadian,1335,90
Wordian,1639,95
Capitanian,1023,70
Wuchiapingian,1720,101
Changhsingian,1271,65
Induan,105,27
Olenekian,64,27
Anisian,425,67
Ladinian,164,35
