"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&interval=Permian,Ladinian&private"
"Access Time","Fri 2024-10-25 09:23:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","interval","Permian,Ladinian"
"","timerule","major"
"","private","1"
"Elapsed Time","3.12"
"Records Found","3667"
"Records Returned","3667"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Djebel Tebaga","Middle Shale","""shale"",""shale""/sandstone","266.9","264.28","TN","2","35"
"str","","Djebel Tebaga","Middle Shaly Facies","""limestone"",""shale""","264.28","259.51","TN","2","10"
"str","","Djebel Tebaga","Upper Biohermal Complex","""limestone"",""shale""/""limestone"",""shale""/dolomite","264.28","259.51","TN","11","59"
"str","","Djebel Tebaga Biohermal Complex","","""carbonate""/dolomite,""limestone"",""limestone""/""shale"",""shale"",""shale""/""limestone""","264.28","259.51","TN","14","121"
"str","","Djebel Tebaga Lower Bioherm","","""limestone""","266.9","264.28","TN","2","3"
"str","","Dog Creek","Guthrie","""limestone""","283.5","273.01","US","5","75"
"str","","Dognikan","","""siliciclastic""","298.9","273.01","RU","1","1"
"str","","Doi Chang","","""limestone""","247.2","242","TH","2","7"
"str","","Doig","","","243.8","242","CA","6","17"
"str","","Dolnapinskaya","","","251.902","247.2","KZ","1","1"
"str","","Dolzanova Soteska","","""limestone"",""reef rocks""","298.9","293.52","AT,SI","26","133"
"str","","Dong","","","259.51","254.14","CN","2","24"
"str","","Dong Giao","","""limestone"",""limestone""/marl","247.2","242","VN","2","7"
"str","","Dong Tran","","""siliciclastic""/marl","247.2","242","VN","1","7"
"str","","Donguz","","claystone,claystone/sandstone,sandstone,sandstone/conglomerate","247.2","242","RU","9","66"
"str","","Dont","","marl,siltstone","244.7","242","IT","3","33"
"str","","Dont / M. Bivera","","""limestone""","244.7","242","IT","1","2"
"str","","Dorgicse","","""limestone"",claystone,sandstone","243.8","242","HU","9","88"
"str","","Dorud","","""limestone""","298.9","293.52","IR","6","16"
"str","","Dosso dei Morti","","""limestone""","244.7","243.8","IT","5","8"
"str","","Douling","","""siliciclastic""","259.51","254.14","CN","4","79"
"str","","Douling","Middle","mudstone","264.28","259.51","CN","6","42"
"str","","Douling","Upper","""siliciclastic"",mudstone","259.51","254.14","CN","12","187"
"str","","Drake Volcanics","","""siliciclastic""","273.01","259.51","AU","1","1"
"str","","Drake Volcanics","Cataract River","""siliciclastic"",mudstone","266.9","264.28","AU","11","18"
"str","","Drevbreen","Somovbreen","siltstone","242","239.7","SJ","1","4"
"str","","Dubrajpur","","","259.51","251.902","IN","1","9"
"str","","Dulgalakh","","""siliciclastic""","254.14","251.902","RU","55","72"
"str","","Dulgalakhskaya Suite","","","266.9","259.51","RU","2","5"
"str","","Dunnatet Limestone","","""limestone""","247.2","242","HU","2","20"
"str","","Dunnatet; Limestone","","""limestone""","247.2","242","HU","2","23"
"str","","Dvuroginskaya Suite","","","251.902","247.2","RU","2","17"
"str","","Dwyka","","""shale"",""siliciclastic"",sandstone","293.52","290.1","NA","4","8"
"str","","Dwyka","Cycle 3","","293.52","290.1","ZW","1","1"
"str","","Dyby","","""siliciclastic""","283.5","273.01","RU","12","14"
"str","","Dzhamantali","","""limestone""","266.9","264.28","TJ","2","2"
"str","","Dzheltin","","""limestone"",conglomerate","290.1","283.5","RU","2","2"
"str","","Dzheltinskaya","","""siliciclastic""","290.1","283.5","RU","3","3"
"str","","Dzhiakunian","","""limestone""","283.5","273.01","RU","2","2"
"str","","Dzhigdali","","""limestone"",""siliciclastic"",conglomerate","273.01","266.9","RU","18","21"
"str","","Dzhinsetinskaya Suite","","","273.01","254.14","MN","2","20"
"str","","Dzhulfa","","""limestone""","259.51","254.14","AM,AZ","3","3"
"str","","Dzhuptagin","","""siliciclastic""","290.1","283.5","RU","7","7"
"str","","Dziewkowice and Karchowice","","breccia","244.7","243.8","PL","3","14"
"str","","E-Lert","","""limestone"",chert/""shale""","283.5","266.9","TH","12","89"
"str","","Eagle Creek","Lower Argillite","mudstone","290.1","283.5","US","1","3"
"str","","Earp","","""limestone""","298.9","290.1","US","1","1"
"str","","Ecca","","""shale""","290.1","283.5","ZA","1","1"
"str","","Echii","","""siliciclastic""","290.1","283.5","RU","84","119"
"str","","Echii","Lower","""siliciclastic""","293.52","290.1","RU","1","1"
"str","","Echiiskaya","","sandstone,siltstone","290.1","283.5","RU","5","18"
"str","","Echiy","","""siliciclastic"",siltstone","290.1","283.5","RU","17","22"
"str","","Efremov","","""siliciclastic"",siltstone","273.01","266.9","RU","5","5"
"str","","Eight Mile Creek","","""siliciclastic""","273.01","266.9","AU","3","4"
"str","","Eiss","","""limestone""","293.52","290.1","US","2","2"
"str","","Ekushanskaya Suite","","","273.01","266.9","RU","1","7"
"str","","El Imperial","","","298.9","293.52","AR","1","4"
"str","","El Quereo","","""shale""/sandstone","298.9","251.902","CL","1","1"
"str","","El'tonskiy","","","247.2","237","KZ","1","1"
"str","","Elderberry","","","242","237","NZ","4","8"
"str","","Elderslie","","""shale"",""siliciclastic"",siltstone","273.01","266.9","AU","46","81"
"str","","Elephant Canyon","","dolomite,packstone,wackestone","298.9","293.52","US","3","18"
"str","","Elikah","","""limestone"",""limestone""/""shale"",""shale"",marl","251.902","251.2","AZ,IR","39","155"
"str","","Elikah","Aras","""limestone"",""shale""","254.14","251.902","IR","16","126"
"str","","Elikah","Claraia Beds","""limestone"",""shale""","251.902","251.4","IR","13","69"
"str","","Elitu","","","266.9","259.51","CN","1","11"
"str","","Emakwezini","","mudstone","254.14","251.902","ZA","1","1"
"str","","Emeishan Basalt","","","259.51","254.14","CN","1","4"
"str","","Endybal","","""siliciclastic""","293.52","290.1","RU","1","1"
"str","","Endybal-Echiy","","""siliciclastic""","290.1","283.5","RU","4","4"
"str","","Enid","","sandstone","298.9","273.01","US","1","13"
"str","","Enstone Park","","""limestone""","290.1","283.5","AU","1","32"
"str","","Episkopi","","""limestone"",lime mudstone,wackestone","259.51","254.14","GR","32","300"
"str","","Epitaph","","dolomite","283.5","273.01","US","1","1"
"str","","Er-Yaginskaya Suite","","","273.01","259.51","RU","1","98"
"str","","Erez","","conglomerate/dolomite,dolomite","247.2","237","IL","12","30"
"str","","Erfurt","","claystone/sandstone","239.7","237","DE","68","138"
"str","","Erfurt","Lingula Dolomite","lime mudstone/bindstone","242","237","DE","1","5"
"str","","Erfurt","Upper Lettenkeuper","""limestone""","239.7","237","DE","1","7"
"str","","Ermaying","Lower","""siliciclastic"",sandstone","247.2","242","CN","7","11"
"str","","Ermaying","Upper","""siliciclastic"",claystone,mudstone,sandstone,sandstone/mudstone","247.2","242","CN","30","72"
"str","","Ermayong","","","247.2","237","CN","1","18"
"str","","Eros Limestone","","""limestone""","247.2","242","GR","1","9"
"str","","Erunakov","","""siliciclastic""","259.51","251.902","RU","1","1"
"str","","Esino","","""limestone""","239.7","237","IT","47","314"
"str","","Esino Limestone","","""limestone""","242","237","IT","1","1"
"str","","Esk","","siltstone","247.2","237","AU","2","5"
"str","","Eskridge","","""carbonate""/""shale"",""shale"",lime mudstone,packstone,wackestone","298.9","293.52","US","7","21"
"str","","Eskridge Shale","","""shale"",lime mudstone","298.9","293.52","US","3","8"
"str","","Eslida","","sandstone,sandstone/siltstone","247.2","242","ES","2","4"
"str","","Estellencs","","siltstone","247.2","245.5","ES","3","14"
"str","","Estrada Nova","","""siliciclastic"",sandstone","273.01","259.51","BR,UY","7","18"
"str","","Estratos de La Coipa","","sandstone","251.902","247.2","CL","1","1"
"str","","Estratos de Llanos de Chocolate","","siltstone/sandstone","298.9","251.902","CL","1","2"
"str","","Eurydesma Beds","","""siliciclastic"",mudstone","290.1","283.5","AU","4","5"
"str","","Evenkskaya","","""siliciclastic""","290.1","273.01","RU","5","7"
"str","","Excelsior","","""limestone""","242","237","US","1","1"
"str","","Exmoor","","""siliciclastic""","266.9","264.28","AU","1","1"
"str","","Falang","","""shale"",dolomite/""limestone""","239.7","233.4","CN","4","12"
"str","","Falang","Laishike","","239.7","237","CN","1","6"
"str","","Falang","Wayao","lime mudstone","239.7","237","CN","1","1"
"str","","Falang","Zhuganpo","""limestone"",lime mudstone","239.7","237","CN","63","142"
"str","","Fang Chert","","chert","244.7","243.8","TH","17","247"
"str","","Fangshankou","","slate","259.51","251.902","CN","3","17"
"str","","Fanjiatun","","""limestone""","266.9","264.28","CN","9","29"
"str","","Fantasque","","chert","273.01","259.51","CA","1","2"
"str","","Farley","","""siliciclastic"",sandstone,siltstone/sandstone","290.1","283.5","AU","38","77"
"str","","Farley","Ravensfield","""siliciclastic"",sandstone","290.1","283.5","AU","7","12"
"str","","Fassan","","wackestone/marl","242","237","HU","1","94"
"str","","Favret","","""limestone""","243.8","242","US","13","24"
"str","","Favret","Fossil Hill","""limestone"",""limestone""/siltstone,""siliciclastic"",mudstone/""shale""","243.8","242","US","36","100"
"str","","Fedorovskii","","""siliciclastic""","273.01","266.9","RU","2","2"
"str","","Fedorovskiy","","","273.01","266.9","RU","2","3"
"str","","Feihsienkuan","","""mixed carbonate-siliciclastic""","251.2","247.2","CN","2","2"
"str","","Feixiangguan","","wackestone","251.902","251.2","CN","1","13"
"str","","Feixianguan","","""limestone"",""limestone""/mudstone,""limestone""/siltstone,""shale"",""shale""/marl,""siliciclastic"",claystone,claystone/""mixed carbonate-siliciclastic"",claystone/""shale"",claystone/lime mudstone,claystone/marl,lime mudstone,lime mudstone/dolomite,lime mudstone/marl,lime mudstone/mudstone,marl,marl/""limestone"",marl/lime mudstone,marl/mudstone,mudstone,mudstone/lime mudstone,siltstone,siltstone/sandstone","251.4","251.2","CN","140","518"
"str","","Feixianguan","3","""limestone""","251.902","251.2","CN","1","1"
"str","","Felsörs Limestone","","""limestone""","247.2","242","HU","11","15"
"str","","Felsõörs","","""limestone"",marl","243.8","242","HU","158","645"
"str","","Felsõörs","Horoghegy","""limestone""","244.7","243.8","HU","19","169"
"str","","Felsõörs Limestone","","""limestone""","247.2","242","HU","5","31"
"str","","Felsörs","","""limestone""","247.2","242","HU","2","41"
"str","","Ferguson Mountain","","""limestone""","290.1","283.5","US","12","20"
"str","","Ferntree","","""siliciclastic"",mudstone,sandstone","259.51","254.14","AU","10","88"
"str","","Flat Top","","""siliciclastic"",sandstone,sandstone/siltstone,siltstone","259.51","254.14","AU","76","380"
"str","","Flat Top","Lower","""siliciclastic""","259.51","254.14","AU","14","147"
"str","","Florena","","""shale""","298.9","293.52","US","5","21"
"str","","Flowerpot","","""shale""","266.9","264.28","US","1","31"
"str","","Fodele","Galinos Shales","""siliciclastic"",phyllite","298.9","293.52","GR","2","12"
"str","","Fol'k","","""siliciclastic"",packstone","273.01","266.9","RU","5","6"
"str","","Foldvik Creek","","""limestone""","259.51","254.14","GL","1","1"
"str","","Ford","","""carbonate"",""limestone"",""reef rocks"",""reef rocks""/grainstone,bafflestone,dolomite,grainstone","259.51","254.14","UK","130","892"
"str","","Ford","Tunstall","""reef rocks""","259.51","254.14","UK","1","2"
"str","","Fort Apache","","""limestone""","283.5","273.01","US","1","3"
"str","","Fort Riley","","""limestone""","290.1","283.5","US","7","27"
"str","","Fossil Cliff","","""limestone"",""siliciclastic"",sandstone","293.52","290.1","AU","12","68"
"str","","Franklin Conglomerate","","sandstone","247.2","242","NZ","1","1"
"str","","Freitag","","sandstone","259.51","254.14","AU","1","1"
"str","","Fremouw","","""siliciclastic"",conglomerate,peat,sandstone,sandstone/mudstone","247.2","237","AA","5","20"
"str","","Fremouw","Upper","conglomerate","247.2","242","AA","2","13"
"str","","Freudenstadt","","""limestone""","245.5","244.7","DE","1","1"
"str","","Fujiwaradake","","""limestone""","293.52","290.1","JP","1","1"
"str","","Fukkoshi","","""siliciclastic"",sandstone/mudstone","247.2","242","JP","2","2"
"str","","Funabuseyama","","""limestone""","273.01","266.9","JP","2","2"
"str","","Furen","","grainstone","266.9","264.28","JP","1","15"
"str","","Furkaska","","""limestone""","247.2","242","PL","1","24"
"str","","Furkaska","Partnach Beds","","243.8","239.7","PL","1","9"
"str","","Ga'ara Sandstone","","","264.28","254.14","IQ","1","6"
"str","","Gabdrashidov","","""siliciclastic""","290.1","283.5","RU","1","1"
"str","","Gabdrashitovian Suite","","","290.1","283.5","RU","7","34"
"str","","Gadikao","1","sandstone","283.5","273.01","CN","1","6"
"str","","Gadikao","3","wackestone","283.5","273.01","CN","1","1"
"str","","Gadikao","5","sandstone","283.5","273.01","CN","1","2"
"str","","Gadzarskaya Suite","","","273.01","266.9","MN","1","9"
"str","","Gai-As","","mudstone/siltstone,sandstone,siltstone","266.9","259.51","NA","3","6"
"str","","Galindai","","""limestone""","259.51","254.14","RU","1","4"
"str","","Gamskaya","","","251.2","247.2","RU","1","1"
"str","","Gangqiao","","","259.51","254.14","CN","1","12"
"str","","Gannosudani","","""siliciclastic""","251.2","247.2","JP","6","6"
"str","","Ganskaya","","""limestone""","266.9","264.28","TJ","4","4"
"str","","Garber","","""shale""/conglomerate","286.1","251.902","US","2","17"
"str","","Garizaren","","lime mudstone/mudstone","266.9","259.51","CN","1","3"
"str","","Garrison","","""limestone"",""shale""","293.52","290.1","US","3","11"
"str","","Garu","","""shale""","293.52","290.1","IN","17","40"
"str","","Gayndah","","""siliciclastic""","247.2","242","AU","1","7"
"str","","Gazov","","""siliciclastic""","298.9","293.52","RU","3","3"
"str","","Gebbie","","""siliciclastic"",sandstone","273.01","266.9","AU","8","32"
"str","","Gebbie","Wall Sandstone","""siliciclastic""","273.01","266.9","AU","1","1"
"str","","Gehrener","","""shale""/sandstone","298.9","283.5","DE","2","37"
"str","","Gehrener Schichten","","""shale""","298.9","293.52","DE","1","1"
"str","","Gejiu","","","247.2","242","CN","1","8"
"str","","Gejiu","""4th""","dolomite","239.7","237","CN","1","8"
"str","","Gerence","Koyutepe","""limestone""","247.2","242","TR","1","10"
"str","","Gerennavar","","""limestone"",marl,siltstone","251.902","251.4","HU","17","109"
"str","","Gerennavar Limestone","","grainstone/wackestone","251.902","251.2","HU","1","14"
"str","","Gerennavar Limestone","""transitional bedset""","""limestone""","254.14","251.902","HU","1","16"
"str","","Gerkinskaya","","""siliciclastic""","273.01","266.9","RU","32","101"
"str","","Gerringong","","""siliciclastic"",mudstone,sandstone","266.9","264.28","AU","23","136"
"str","","Gevanim","","""limestone"",""limestone""/""shale"",""shale"",dolomite,sandstone","243.8","242","IL","14","194"
"str","","Gevanim","Levantina","","244.7","243.8","IL","1","1"
"str","","Gevanim","Middle","sandstone/""shale""","244.7","243.8","IL","1","8"
"str","","Gevanim","Upper","sandstone/""limestone""","244.7","243.8","IL","1","5"
"str","","Gharif","","sandstone","266.9","264.28","OM","1","30"
"str","","Gilgurry Mudstone","","""siliciclastic"",mudstone,sandstone","259.51","254.14","AU","10","12"
"str","","Gilmore","","""limestone""","298.9","251.902","US","1","1"
"str","","Gipshuken","","""limestone""","290.1","283.5","SJ","2","3"
"str","","Gircha","","""mixed carbonate-siliciclastic"",siltstone","298.9","293.52","PK","5","24"
"str","","Giro","","""siliciclastic""","298.9","293.52","AU","4","4"
"str","","Gizhiga","","""siliciclastic""","264.28","259.51","RU","22","28"
"str","","Glencoe","","","293.52","290.1","AU","1","1"
"str","","Glenmore","","""siliciclastic""","273.01","266.9","AU","4","5"
"str","","Gnishik","","""carbonate"",""limestone""","266.9","264.28","AM,AZ,IR","62","573"
"str","","Gogolin","","""limestone"",""limestone""/marl","245.5","242","PL","6","12"
"str","","Gogoliner Schichten","Konglomeratebank","conglomerate/mudstone","247.2","242","DE","1","2"
"str","","Gokdere","","chert","239.7","237","TR","2","7"
"str","","Golden Valley","","""siliciclastic""","293.52","290.1","AU","2","2"
"str","","Goldlauter","","""shale"",claystone","293.52","290.1","DE","13","38"
"str","","Goldlauter","Lower","siltstone","298.9","293.52","DE","1","2"
"str","","Goldlauterer","","""shale""/sandstone","298.9","283.5","DE","5","132"
"str","","Goldlauterer","Lower Goldlauterer","","293.52","290.1","DE","2","3"
"str","","Goldlauterer","Upper Goldlauterer","","298.9","283.5","DE","3","6"
"str","","Gomaniibrik","","""limestone"",""shale""","254.14","251.902","TR","2","3"
"str","","Goodhue Greenstone","","tuff","298.9","273.01","US","1","1"
"str","","Goose Egg","","""siliciclastic""","283.5","273.01","US","1","1"
"str","","Gorazdze","","","244.7","243.8","PL","1","1"
"str","","Gostevskaya","","conglomerate,sandstone,sandstone/conglomerate","248.9","247.2","RU","7","16"
"str","","Goulushankecuo","","mudstone/chert","243.8","242","CN","1","26"
"str","","Gracilis","","""limestone""","247.2","244.7","IT","1","1"
"str","","Grange Mudstone","","""siliciclastic"",mudstone","283.5","273.01","AU","5","16"
"str","","Grant","","","298.9","290.1","AU","1","3"
"str","","Grantsville","","""limestone""","242","237","US","1","3"
"str","","Gray Siltstone","","siltstone","290.1","283.5","AU","1","22"
"str","","Grayling","","""siliciclastic"",sandstone,siltstone,siltstone/""limestone""","251.4","247.2","CA","10","19"
"str","","Great Bear Cape","","""limestone""","290.1","283.5","CA","43","222"
"str","","Grenola","","""limestone""","298.9","293.52","US","1","1"
"str","","Grenola","Burr","lime mudstone","298.9","293.52","US","1","1"
"str","","Grenola","Neva","""limestone"",""shale"",packstone","298.9","293.52","US","7","40"
"str","","Grenola Limestone","Burr ls","""shale"",lime mudstone,packstone,wackestone","298.9","293.52","US","4","13"
"str","","Grenola Limestone","Neva ls","""shale""","298.9","293.52","US","4","16"
"str","","Grenola Limestone","Sallyards ls","packstone,wackestone","298.9","293.52","US","2","6"
"str","","Grenzland","","""limestone""","293.52","290.1","AT,SI","28","120"
"str","","Grès à Meules","","claystone","247.2","245.5","FR","2","20"
"str","","Grès à Voltzia","","""siliciclastic"",claystone,claystone/siltstone,marl,sandstone","247.2","242","DE,FR","19","136"
"str","","Grès à Voltzia","Grès à meules","sandstone","247.2","242","FR","11","127"
"str","","Grès à Voltzia","Grès argileux","""limestone""","247.2","245.5","FR","8","41"
"str","","Grès d'Antully","","claystone,claystone/sandstone,sandstone,sandstone/claystone","247.2","237","FR","15","93"
"str","","Gres de Bucaco","","","298.9","283.5","PT","1","36"
"str","","Grès de Kirchaou","","","242","237","TN","1","9"
"str","","Grès inférieurs","","","247.2","237","FR","1","8"
"str","","Grès Inférieurs du Lyonnais","","sandstone","247.2","237","FR","5","27"
"str","","Grès Inférieurs du Maçonnais","","sandstone","247.2","237","FR","2","7"
"str","","Grès Inférieurs du Roubreau","","sandstone","247.2","237","FR","2","21"
"str","","Greta Coal Measures equivalent","","","290.1","283.5","AU","1","9"
"str","","Greville","","""siliciclastic"",sandstone","259.51","247.2","NZ","2","2"
"str","","Grey Beds","","sandstone","242","237","CA","1","1"
"str","","Grey Pelite","","sandstone/mudstone","259.51","251.902","PL","1","15"
"str","","Grodner Conglomerate","Collio Schichten","conglomerate","290.1","283.5","IT","1","8"
"str","","Grodner Folge","Trevig Schichten","","283.5","264.28","IT","1","9"
"str","","Groedner Sandstein","","claystone/sandstone,sandstone,sandstone/claystone","259.51","251.902","IT","13","262"
"str","","Grupera","","""limestone""/""shale""","290.1","283.5","MX","1","2"
"str","","Gua Musang","","""limestone""/""shale"",mudstone,mudstone/""limestone"",sandstone/mudstone,wackestone","251.2","247.2","MY","26","192"
"str","","Guacamaya","","mudstone/siltstone,sandstone/""shale""","293.52","283.5","MX","2","22"
"str","","Guanggaishan","","""limestone""","242","237","CN","2","4"
"str","","Guanling","","""carbonate""/mudstone,""limestone"",""limestone""/""shale"",""siliciclastic"",lime mudstone,marl,packstone","243.8","242","CN","18","58"
"str","","Guanling","2","","247.2","242","CN","1","2"
"str","","Guanling","II","""limestone"",""limestone""/dolomite","244.7","242","CN","3","4"
"str","","Guanling","Second","lime mudstone","244.7","243.8","CN","1","1"
"str","","Guanling","Songzikan","dolomite/claystone","247.2","237","CN","2","2"
"str","","Guanling","Upper","""limestone"",""mixed carbonate-siliciclastic"",lime mudstone,lime mudstone/mudstone","244.7","242","CN","14","51"
"str","","Gufeng","","chert","259.51","254.14","CN","3","41"
"str","","Gufeng","Siliceous Rock","chert","264.28","259.51","CN","6","43"
"str","","Gujo","","""shale""","254.14","251.902","JP","2","25"
"str","","Gulangdi","","""siliciclastic""","247.2","242","CN","10","25"
"str","","Gundara","","""limestone""","273.01","266.9","AM,KG,TJ","38","98"
"str","","Gungdang","Kone","""carbonate""","251.902","247.2","NP","1","3"
"str","","Gungdang","Langpo","""limestone""","251.902","247.2","NP","1","3"
"str","","Gungdang","Naurchuli","""limestone""/dolomite","251.902","247.2","NP","1","1"
"str","","Gungri","Siltstone","siltstone","259.51","251.902","IN","1","1"
"str","","Gungri","Testha Sandstone","sandstone","259.51","254.14","IN","2","2"
"str","","Gunong Rabong","","""mixed carbonate-siliciclastic""/""shale"",sandstone/""shale""","242","237","MY","2","3"
"str","","Guodikeng","","mudstone","251.902","251.2","CN","8","11"
"str","","Guohua","","""limestone""/mudstone","247.2","242","CN","1","5"
"str","","Guojiashan","","""limestone""","247.2","242","CN","14","61"
"str","","Gurimisskaya Suite","","","242","237","RU","1","5"
"str","","Gusinaya","","""siliciclastic"",mudstone","290.1","283.5","RU","5","5"
"str","","Gusinozemelskaya","","""shale"",""siliciclastic"",mudstone","283.5","273.01","RU","7","15"
"str","","Gutenstein","","""limestone""","244.7","242","AT,SK","9","148"
"str","","Gutenstein","Brachiopodenbank","""limestone""","244.7","243.8","AT","1","8"
"str","","Gutian","","","264.28","259.51","CN","1","2"
"str","","Guye","","","264.28","254.14","CN","1","18"
"str","","Gyanyima","","""limestone"",grainstone","254.14","251.902","CN","18","213"
"str","","Gymnocodiacean Limestone","","""limestone"",bindstone,marl","273.01","266.9","GR","7","40"
"str","","Gymnocodiacean Limestones","","""limestone"",packstone,packstone/bindstone,wackestone","273.01","266.9","GR","30","100"
"str","","Gypsiferous Series","","""limestone""","290.1","283.5","SJ","1","3"
"str","","H. S. Lee","","""limestone""","283.5","273.01","MY","1","4"
"str","","H.S. Lee","","""limestone""","283.5","273.01","MY","3","115"
"str","","Haizer-Akouker","","""limestone""/dolomite,sandstone","243.8","242","DZ","2","11"
"str","","Halleck","","siltstone","298.9","293.52","US","7","55"
"str","","Halls Peak","","""siliciclastic""","298.9","293.52","AU","1","1"
"str","","Hallstatt","","packstone,packstone/""volcaniclastic""","242","239.7","GR","9","186"
"str","","Hambast","","""limestone"",""limestone""/""shale"",""shale"",lime mudstone","254.14","251.902","IR","117","364"
"str","","Hambergfjellet","","""limestone""","293.52","290.1","SJ","1","1"
"str","","Hamrat Duru","","packstone","273.01","266.9","OM","6","41"
"str","","Han-Bulog","","""limestone"",lime mudstone","243.8","242","AL,GR","14","102"
"str","","Happy Creek","","""limestone""","290.1","283.5","US","5","5"
"str","","Hardegsen","","","251.902","251.2","DE","1","1"
"str","","Hardman","","""siliciclastic"",sandstone","259.51","254.14","AU","5","6"
"str","","Hardman","Cherrabun","""siliciclastic""","259.51","254.14","AU","14","34"
"str","","Hardman","Kirkby Range","""siliciclastic"",sandstone","259.51","254.14","AU","8","17"
"str","","Hare Fiord","","""limestone""","293.52","290.1","CA","2","20"
"str","","Harpersville","","""carbonate"",""limestone""","303.7","286.1","US","7","35"
"str","","Harpersville","Belknap ls","""carbonate""","303.7","286.1","US","2","26"
"str","","Harpersville","Crystal Falls","""carbonate""","303.7","286.1","US","1","11"
"str","","Harpersville","Crystal Falls ls","""carbonate""","303.7","286.1","US","1","5"
"str","","Harpersville","Saddle Creek ls","""carbonate""","303.7","286.1","US","3","10"
"str","","Harperville","","coal","298.9","290.1","US","1","5"
"str","","Harrison Lake","Celia Cove","""limestone""","298.9","273.01","CA","1","1"
"str","","Hasen Creek","","""limestone""","298.9","290.1","US","4","6"
"str","","Hashikadani","","chert,chert/claystone,claystone","251.902","247.2","JP","142","697"
"str","","Havensville","","""limestone"",""shale""","293.52","290.1","US","3","4"
"str","","Hawkesbury","","sandstone","247.2","242","AU","2","3"
"str","","Hawkesbury Sandstone","Brookvale Shale","""shale""","247.2","242","AU","2","18"
"str","","Heilbronn","","marl","243.8","242","DE","1","1"
"str","","Heinishao","","","259.51","254.14","CN","1","2"
"str","","Heishanyao","","","254.14","251.902","CN","1","3"
"str","","Helongshan","","""limestone"",""shale"",claystone,lime mudstone,marl,mudstone","251.2","248.9","CN","17","58"
"str","","Helsby Sandstone","","sandstone","247.2","242","UK","2","4"
"str","","Helsby Sandstone","Wood Mine Conglomerate","conglomerate","251.902","237","UK","1","1"
"str","","Hennessey","","""shale"",""shale""/sandstone,""siliciclastic""","283.5","273.01","US","5","26"
"str","","Hennessey","Fairmont Shale","""shale""","283.5","273.01","US","1","9"
"str","","Herington","","""limestone""","290.1","283.5","US","2","2"
"str","","Hermit Shale","","""shale""/sandstone","290.1","273.01","US","2","48"
"str","","Heshan","","""limestone"",""limestone""/chert,""limestone""/mudstone,""shale"",bafflestone,chert/""limestone"",chert/mudstone,marl,mudstone/sandstone,sandstone,siltstone,wackestone","254.14","251.902","CN","104","562"
"str","","Heshan","2","""limestone""","259.51","254.14","CN","1","3"
"str","","Heshan","Lower","""limestone""","259.51","254.14","CN","2","9"
"str","","Heshan","Upper","""limestone""","254.14","251.902","CN","4","68"
"str","","Heshanggou","","""siliciclastic"",marl,sandstone","251.2","242","CN","6","7"
"str","","Heshangzou","","","251.902","247.2","CN","2","20"
"str","","Hess","","""limestone"",""reef rocks"",framestone,sandstone","283.5","273.01","US","37","173"
"str","","Hess","Taylor Ranch","""limestone"",wackestone","283.5","273.01","US","11","246"
"str","","Hetvehely Dolomite","Viganvár Limestone","""limestone""","247.2","244.7","HU","1","5"
"str","","Hickman","","""siliciclastic""","290.1","283.5","AU","1","2"
"str","","Hidegkut","Hidegkut Dolomite","dolomite","251.2","247.2","HU","2","13"
"str","","Hidegkut","Hidegkut Sandstone","marl/siltstone","251.2","247.2","HU","3","22"
"str","","Hidegkut","Sandstone","siltstone","251.902","247.2","HU","2","9"
"str","","High Cliff Sandstone","","sandstone","290.1","283.5","AU","2","26"
"str","","Hilton Plant Beds","","","259.51","254.14","UK","1","6"
"str","","Hinjir","","","266.9","251.902","IN","2","64"
"str","","Hiraiso","","""shale"",sandstone,sandstone/siltstone,siltstone","248.9","247.2","JP","6","14"
"str","","Hirobatake","","""siliciclastic""","251.2","247.2","JP","1","1"
"str","","Hiryuyama","","sandstone","266.9","259.51","JP","1","1"
"str","","Hoang Mai","","""limestone""","247.2","242","VN","1","5"
"str","","Hollenberg","","""limestone""","283.5","273.01","US","1","1"
"str","","Holmwood","","""limestone"",""shale"",""siliciclastic""","293.52","290.1","AU","9","12"
"str","","Holmwood","Fossil Cliff","""limestone"",""shale"",""siliciclastic"",sandstone,siltstone","293.52","290.1","AU","81","772"
"str","","Holodnolog","","""limestone"",""reef rocks"",dolomite","298.9","293.52","RU","13","33"
"str","","Hong Hoi","","""shale""/sandstone","247.2","242","TH","1","2"
"str","","Hong Ngai","","mudstone","251.902","247.2","VN","1","6"
"str","","Hongmialin","","","273.01","264.28","CN","1","5"
"str","","Hongqi","","","251.902","251.2","CN","1","9"
"str","","Hongqun","","","259.51","254.14","CN","1","14"
"str","","Hongshuichuanqun","","","248.9","247.2","CN","5","6"
"str","","Hongyanjin","","","259.51","251.902","CN","1","10"
"str","","Hongyanjing","","""shale""","251.2","247.2","CN","1","7"
"str","","Hornos-Siles","","packstone/marl","242","237","ES","13","85"
"str","","Hoso-o","","""shale"",""siliciclastic"",mudstone","266.9","264.28","JP","11","48"
